ustime gx gy gz ax ay az
2318433095 451 330 -671 575 -1378 -15128
2318439561 50 303 -650 589 -2265 -16911
2318446038 563 28 -396 885 -2336 -17652
2318452519 1066 89 -427 1516 -2324 -14843
2318459001 -19 -265 -231 1254 -2736 -17010
2318465473 243 -361 -227 1244 -2410 -18384
2318471929 1475 -249 -269 567 -1936 -15947
2318478419 627 155 -785 674 -2126 -12511
2318484908 -594 114 -434 35 -3463 -16511
2318491380 60 135 -396 1055 -2524 -15861
2318497856 382 66 -319 495 -2762 -15430
2318504339 439 235 -497 494 -2124 -15598
2318510812 1385 345 -616 668 -2310 -15903
2318517275 2034 128 -669 341 -2923 -14956
2318523717 1975 -152 -372 1858 -1051 -4728
2318530154 -2393 -2038 811 1889 -2461 -20299
2318536592 -1408 -2073 817 1794 -2024 -18210
2318543024 -1128 -1048 324 1295 -2809 -17294
2318549459 -805 -680 29 539 -2443 -16876
2318555984 -658 -651 -30 805 -2322 -15789
2318562419 -683 -726 -52 988 -2541 -16235
2318568856 -594 -955 -48 1087 -1917 -15595
2318575287 -510 -1333 98 389 -2236 -15348
2318581735 -599 -1465 131 1116 -1904 -16213
2318588162 -603 -1386 80 703 -1898 -16009
2318594599 -699 -1176 78 687 -2095 -15492
2318601032 -841 -1118 140 308 -2227 -15706
